순위,곡명,아티스트,앨범
89,Wake Up (Prod. 코드 쿤스트),개코,쇼미더머니 10 Episode 1
90,Ballerino,리쌍,Black Sun
91,잠수이별 (Prod. 코드 쿤스트),우원재,잠수이별
92,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
93,Happy Fools (feat. Coi Leray),투모로우바이투게더,이름의 장: TEMPTATION
94,CASE 143,Stray Kids (스트레이 키즈),MAXIDENT
95,I Love U Oh Thank U (Feat. 김태우 Of God),MC몽,His Story
96,사임쌓임,Chin,The Money Team
97,마지막 인사,BIGBANG (빅뱅),Hot Issue
98,OUT OF MY SIGHT,릴러말즈 (Leellamarz),VIOLINIST2
99,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,쇼미더머니 11 Episode 3
100,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),돌아오지마
