분류,순위,가수명,인기곡,앨범이미지,유튜브링크
남자그룹,12,Stray Kids (스트레이 키즈),CASE 143,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/06/344/2006344_20220926171824_500.jpg,https://www.youtube.com/watch?v=FpnUwGA9NDE
남자그룹,13,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/91/119/191119_20221028115609_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
남자그룹,14,몬스타엑스,Beautiful Liar,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/91/216/791216_20230109113440_500.jpg,https://www.youtube.com/watch?v=2zXg8CbymYc
남자그룹,15,LUCY,개화 (Flowering),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/36/779/2736779_20230223134900_500.jpg,https://www.youtube.com/watch?v=WQdFA55hT80
남자그룹,16,더보이즈 (THE BOYZ),ROAR,https://cdnimg.melon.co.kr/cm2/artistcrop/images/018/16/126/1816126_20230220145112_500.jpg,https://www.youtube.com/watch?v=selkk5MpGVo
남자그룹,17,엠씨더맥스 (M.C the MAX),어디에도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/61/636/161636_20221206152142_500.jpg,https://www.youtube.com/watch?v=va5rf20Un24
남자그룹,18,Say Yes!,Say My Name,https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg,https://www.youtube.com/watch?v=jkemczUyhW4
남자그룹,19,포맨 (4MEN),나비무덤,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/176/100176_20210604103812_500.jpg,https://www.youtube.com/watch?v=-embUeUPc7o
남자그룹,20,비투비,그리워하다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/47/971/647971_20220208101130_500.jpg,https://www.youtube.com/watch?v=wDkjWSt3HOM
남자그룹,21,버스커 버스커,벚꽃 엔딩,https://cdnimg.melon.co.kr/cm/artistcrop/images/005/69/233/569233_500.jpg,https://www.youtube.com/watch?v=tXV7dfvSefo
남자그룹,22,SG 워너비,Timeless,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/363/108363_20210716151520_500.jpg,https://www.youtube.com/watch?v=SJk5Nks2Xvg
남자그룹,23,에픽하이 (EPIK HIGH),우산 (Feat. 윤하),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/356/108356_20230131141458_500.jpg,https://www.youtube.com/watch?v=NIPtyAKxlRs
남자그룹,24,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/54/623/2754623_20201214142344_500.jpg,https://www.youtube.com/watch?v=szj8w-5nqE4
남자그룹,25,Maroon 5,Memories,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/07/721/107721_20210608170728_500.jpg,https://www.youtube.com/watch?v=SlPhMPnQ58k
남자그룹,26,WINNER,REALLY REALLY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/75/197/775197_20220705143441_500.jpg,https://www.youtube.com/watch?v=4tBnF46ybZk
남자그룹,27,버즈,Monologue,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/60/091/160091_20210310140842_500.jpg,https://www.youtube.com/watch?v=-xvOv7yL10I
남자그룹,28,SHINee (샤이니),Stand By Me,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/47/639/247639_20210406112412_500.jpg,https://www.youtube.com/watch?v=DGepOrAcD4g
남자그룹,29,NCT U,"일곱 번째 감각 (The 7th Sense) (Sung by 태용, 마크, 재현, 도영, 텐)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/60/278/960278_20211126115125_500.jpg,https://www.youtube.com/watch?v=3UGMDJ9kZCA
남자그룹,30,ENHYPEN,Polaroid Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/079/2899079_20220704160050_500.jpg,https://www.youtube.com/watch?v=FTKSHe9cm-A
남자그룹,31,노을,늦은 밤 너의 집 앞 골목길에서,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/05/623/105623_20221027140139_500.jpg,https://www.youtube.com/watch?v=3gaLOtoSs40
남자그룹,32,엔플라잉 (N.Flying),옥탑방 (Rooftop),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/61/430/861430_20221017195927_500.jpg,https://www.youtube.com/watch?v=VpaUh_BGqE0
남자그룹,33,Imagine Dragons,Believer,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/35/412/635412_20220311152620_500.jpg,https://www.youtube.com/watch?v=7wtfhZwyrcc
남자그룹,34,다이나믹 듀오,죽일 놈 (Guilty),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/358/108358_20191126153746_500.jpg,https://www.youtube.com/watch?v=ppjRIEgcXIY
남자그룹,35,스탠딩 에그,오래된 노래,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/67/880/467880_20220518180745_500.jpg,https://www.youtube.com/watch?v=bW3XExLBf7A
남자그룹,36,틴탑,To You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/83/581/483581_20200710151709_500.jpg,https://www.youtube.com/watch?v=_YP7vCNl4WU
남자그룹,37,Coldplay,My Universe,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/260/100260_20211015102948_500.jpg,https://www.youtube.com/watch?v=bZYPI4mYwhw
남자그룹,38,블락비 (Block B),HER,https://cdnimg.melon.co.kr/cm/artistcrop/images/005/32/201/532201_500.jpg,https://www.youtube.com/watch?v=o0WCva5Stk4
남자그룹,39,인피니트,Man In Love (남자가 사랑할때),https://cdnimg.melon.co.kr/cm/artistcrop/images/004/76/181/476181_500.jpg,https://www.youtube.com/watch?v=gO044Odww3E
남자그룹,40,FTISLAND (FT아일랜드),사랑앓이,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/26/490/226490_20211210102738_500.jpg,https://www.youtube.com/watch?v=gnLwCb8Cz7I
남자그룹,41,En Butter,"En Garde (준비,시작!)",https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg,https://www.youtube.com/watch?v=QTLgJS7Tuds
남자그룹,42,BOYS PLANET,난 빛나 (Here I Am),https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/84/787/3184787_20230103184438_500.jpg,https://www.youtube.com/watch?v=Mjr47ikehQE
남자그룹,43,비스트,비가 오는 날엔,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/36/981/436981_500.jpg,https://www.youtube.com/watch?v=W7FHJnlK7HI
남자그룹,44,CRAVITY,Groovy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/63/902/2863902_20230306162437_500.jpg,https://www.youtube.com/watch?v=uqrGN_BiC2g
남자그룹,45,혁오 (HYUKOH),위잉위잉,https://cdnimg.melon.co.kr/cm/artistcrop/images/007/85/589/785589_500.jpg,https://www.youtube.com/watch?v=IUoTjkS242c
