장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
장르종합,30,이채연,KNOCK,Over The Moon,https://cdnimg.melon.co.kr/cm2/album/images/112/21/404/11221404_20230411101938_500.jpg,https://www.youtube.com/watch?v=3bnjH5jXxJc
장르종합,31,V.O.S,안녕이라고 말하지마,안녕이라고 말하지마,https://cdnimg.melon.co.kr/cm2/album/images/112/34/467/11234467_20230428140751_500.jpg,https://www.youtube.com/watch?v=Yw3-w2Q2e9g
장르종합,32,세븐틴 (SEVENTEEN),F*ck My Life,SEVENTEEN 10th Mini Album ‘FML',https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg,https://www.youtube.com/watch?v=9kpuOoIh3wU
장르종합,33,임영웅,사랑은 늘 도망가,신사와 아가씨 OST Part.2,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg,https://www.youtube.com/watch?v=LKQ-18LoFQk
장르종합,34,멜로망스,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg,https://www.youtube.com/watch?v=pTe9aJHEF_o
장르종합,35,임한별,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg,https://www.youtube.com/watch?v=uCT4YCk6cvs
장르종합,36,비투비,나의 바람 (Wind And Wish),WIND AND WISH,https://cdnimg.melon.co.kr/cm2/album/images/112/35/799/11235799_20230502104633_500.jpg,https://www.youtube.com/watch?v=zXOoza3sxiw
장르종합,37,지아,사랑하기 싫어,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg,https://www.youtube.com/watch?v=bKfQmdCWKoQ
장르종합,38,성시경,너의 모든 순간,별에서 온 그대 OST Part.7,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg,https://www.youtube.com/watch?v=i2aRMXZR1k0
장르종합,39,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom),H1-KEY 1st Mini Album [Rose Blossom],https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg,https://www.youtube.com/watch?v=3YwrXrpXPM4
장르종합,40,우디 (Woody),Nostalgia,Nostalgia,https://cdnimg.melon.co.kr/cm2/album/images/111/95/614/11195614_20230303182750_500.jpg,https://www.youtube.com/watch?v=FaIqFOU_uUw
장르종합,41,#안녕,해요 (2022),해요 (2022),https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg,https://www.youtube.com/watch?v=P6gV_t70KAk
장르종합,42,NCT DREAM,Candy,Candy - Winter Special Mini Album,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg,https://www.youtube.com/watch?v=zuoSn3ObMz4
장르종합,43,(여자)아이들,Nxde,I love,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg,https://www.youtube.com/watch?v=fCO7f0SmrDc
장르종합,44,"The Kid LAROI, Justin Bieber",STAY,Stay,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg,https://www.youtube.com/watch?v=kTJczUoc26U
장르종합,45,Charlie Puth,That's Hilarious,CHARLIE,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg,https://www.youtube.com/watch?v=Nq3x1AkwgpY
장르종합,46,테이,Monologue,Monologue,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg,https://www.youtube.com/watch?v=IeDb7OrnGNE
장르종합,47,우디 (Woody),Say I Love You,Say I Love You (Re : WIND 4MEN Vol.04),https://cdnimg.melon.co.kr/cm2/album/images/111/28/774/11128774_20221220164233_500.jpg,https://www.youtube.com/watch?v=JEJGD9mIYQQ
장르종합,48,김민석 (멜로망스),취중고백,취중고백,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg,https://www.youtube.com/watch?v=VMQl78z1DiY
장르종합,49,10CM,그라데이션,5.3,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
장르종합,50,DK(디셈버),발걸음,발걸음,https://cdnimg.melon.co.kr/cm2/album/images/112/13/288/11213288_20230329152659_500.jpg,https://www.youtube.com/watch?v=1Zv_iZmpz64
장르종합,51,지민,Like Crazy,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=HALG3Ty52mY
장르종합,52,BLACKPINK,Shut Down,BORN PINK,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg,https://www.youtube.com/watch?v=POe9SOEKotk
장르종합,53,LE SSERAFIM (르세라핌),FEARLESS,FEARLESS,https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg,https://www.youtube.com/watch?v=LiNxfFkymTk
장르종합,54,임영웅,우리들의 블루스,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=JPPIrXdocjQ
장르종합,55,주주 시크릿,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),https://cdnimg.melon.co.kr/cm2/album/images/112/09/910/11209910_20230323192006_500.jpg,https://www.youtube.com/watch?v=l8xsaUjjGrM
장르종합,56,방탄소년단,Dynamite,Dynamite (DayTime Version),https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
장르종합,57,주호,내가 아니라도,내가 아니라도,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg,https://www.youtube.com/watch?v=lAq9l8o6UXU
장르종합,58,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),정이라고 하자,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg,https://www.youtube.com/watch?v=DYrY1E4-9NI
장르종합,59,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),https://cdnimg.melon.co.kr/cm2/album/images/110/45/985/11045985_20220905151107_500.jpg,https://www.youtube.com/watch?v=azaZt7eccnc
장르종합,60,IVE (아이브),ELEVEN,ELEVEN,https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg,https://www.youtube.com/watch?v=--FmExEAsM8
장르종합,61,BLACKPINK,Pink Venom,BORN PINK,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg,https://www.youtube.com/watch?v=gQlMMD8auMs
장르종합,62,(여자)아이들,TOMBOY,I NEVER DIE,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.youtube.com/watch?v=Jh4QFaPmdss
장르종합,63,태양,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),https://cdnimg.melon.co.kr/cm2/album/images/111/46/937/11146937_20230112154123_500.jpg,https://www.youtube.com/watch?v=cXCBiF67jLM
장르종합,64,"경서예지, 전건호",다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg,https://www.youtube.com/watch?v=b_6EfFZyBxY
