장르,순위,아티스트,곡명,앨범,앨범이미지
랩／힙합,43,Caj,"19금
퐆",잠깐,https://cdnimg.melon.co.kr/cm2/album/images/112/19/339/11219339_20230406171543_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,44,픽시즘 (PIXISM),I Got A Shirt,I Got A Shirt,https://cdnimg.melon.co.kr/cm2/album/images/112/19/300/11219300_20230406163754_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,45,yungthebird,길,길,https://cdnimg.melon.co.kr/cm2/album/images/112/19/287/11219287_20230406163228_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,46,디움,순간들,순간들,https://cdnimg.melon.co.kr/cm2/album/images/112/19/256/11219256_20230406162056_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,47,MUSHBERRY,Margarita,Margarita,https://cdnimg.melon.co.kr/cm2/album/images/112/19/228/11219228_20230406160637_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,48,MUSHBERRY,Aeternum,Aeternum,https://cdnimg.melon.co.kr/cm2/album/images/112/19/226/11219226_20230406160635_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,49,MUSHBERRY,Bellum,Bellum,https://cdnimg.melon.co.kr/cm2/album/images/112/19/222/11219222_20230406160524_500.jpg/melon/resize/282/quality/80/optimize,
랩／힙합,50,MUSHBERRY,Mercator,Mercator,https://cdnimg.melon.co.kr/cm2/album/images/112/19/221/11219221_20230406160503_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,1,송이한,내 세상을 주고 싶어,내 세상을 주고 싶어,https://cdnimg.melon.co.kr/cm2/album/images/112/19/965/11219965_20230407155303_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,2,두솜 (dusom),무궁화 꽃이 피었습니다,무궁화 꽃이 피었습니다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/648/11219648_20230407110539_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,3,공원과 산책,Midsummer,Midsummer,https://cdnimg.melon.co.kr/cm2/album/images/112/19/944/11219944_20230407153647_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,4,bochuL,중독(Addicted),중독(Addicted),https://cdnimg.melon.co.kr/cm2/album/images/112/19/942/11219942_20230407153616_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,5,동욱,방청소 (Feat. 정승환),방청소,https://cdnimg.melon.co.kr/cm2/album/images/112/19/645/11219645_20230407110204_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,6,SeeNu,I Do (Feat. gabi),I Do (Feat. gabi),https://cdnimg.melon.co.kr/cm2/album/images/112/19/639/11219639_20230407105910_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,7,세린(selin),closet,closet,https://cdnimg.melon.co.kr/cm2/album/images/112/19/564/11219564_20230407102935_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,8,DOKO (도코),"사랑해, 완벽하게 슬픈 날에도","사랑해, 완벽하게 슬픈 날에도",https://cdnimg.melon.co.kr/cm2/album/images/112/19/375/11219375_20230406174213_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,9,DIVE (다이브),커플링 (Feat. REX.D),커플링,https://cdnimg.melon.co.kr/cm2/album/images/112/19/416/11219416_20230407094659_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,10,dkash (디캐시),Alcoholics (Feat. Yris Paris),Alcoholics,https://cdnimg.melon.co.kr/cm2/album/images/112/19/633/11219633_20230407105247_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,11,권경혜,Same,Same,https://cdnimg.melon.co.kr/cm2/album/images/112/19/935/11219935_20230407153313_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,12,ONDD,1 a.m i am..,1 a.m. i am..,https://cdnimg.melon.co.kr/cm2/album/images/112/19/933/11219933_20230407153124_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,13,boythemuz,한 가지만 더,한 가지만 더,https://cdnimg.melon.co.kr/cm2/album/images/112/19/920/11219920_20230407152556_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,14,채영 (Chaeyoung),BLUE (Feat. 추서준),BLUE,https://cdnimg.melon.co.kr/cm2/album/images/112/19/918/11219918_20230407152524_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,15,현유환,Hi,Hi,https://cdnimg.melon.co.kr/cm2/album/images/112/19/912/11219912_20230407152414_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,16,비비 (BIBI),안녕하세오 삼푸애요 (I AM...),안녕하세오 삼푸애요 (I AM...),https://cdnimg.melon.co.kr/cm2/album/images/112/19/173/11219173_20230406155321_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,17,Agust D,사람 Pt.2 (feat. 아이유),사람 Pt.2 (feat. 아이유),https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230407161051_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,18,슈가볼 (Sugarbowl),연애담 : Love Story,연애담 : Love Story,https://cdnimg.melon.co.kr/cm2/album/images/112/17/902/11217902_20230405112451_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,19,강지원 (Kangziwon),only u (feat. Sam Kim),only u,https://cdnimg.melon.co.kr/cm2/album/images/112/19/067/11219067_20230406142100_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,20,안재우,1 Step (Feat. 김미정),1 Step (Feat. 김미정),https://cdnimg.melon.co.kr/cm2/album/images/112/19/335/11219335_20230406171237_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,21,류가람,향기,향기,https://cdnimg.melon.co.kr/cm2/album/images/112/17/937/11217937_20230405114555_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,22,주노,YOU,YOU,https://cdnimg.melon.co.kr/cm2/album/images/112/19/302/11219302_20230406163902_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,23,Lumel (루멜),My Bad,My Bad,https://cdnimg.melon.co.kr/cm2/album/images/112/19/270/11219270_20230406162506_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,24,정디 (JungDii),Paradise,Paradise,https://cdnimg.melon.co.kr/cm2/album/images/112/19/213/11219213_20230406160312_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,25,김보석,뒹굴뒹굴 (With. 김나현),뒹굴뒹굴,https://cdnimg.melon.co.kr/cm2/album/images/112/19/181/11219181_20230406155531_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,26,김수연,Stuffy,Stuffy,https://cdnimg.melon.co.kr/cm2/album/images/112/19/166/11219166_20230406154811_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,27,여헌,Change My Mind,Change My Mind,https://cdnimg.melon.co.kr/cm2/album/images/112/19/147/11219147_20230406153316_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,28,XG,SHOOTING STAR (BARS REMIXX FEAT. RICO NASTY),SHOOTING STAR REMIXX (PROD BY JAKOPS),https://cdnimg.melon.co.kr/cm2/album/images/112/19/097/11219097_20230406150658_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,29,Elevator pitch,Fades away,Allium/Heath,https://cdnimg.melon.co.kr/cm2/album/images/112/19/074/11219074_20230406145916_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,30,I'MIN,No Love (Drown),No Love (Drown),https://cdnimg.melon.co.kr/cm2/album/images/112/10/743/11210743_20230324225506_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,31,죠지,오래오래,FRR,https://cdnimg.melon.co.kr/cm2/album/images/112/18/699/11218699_20230405184131_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,32,이지카이트 (Izykite),Diver,I ZIP,https://cdnimg.melon.co.kr/cm2/album/images/112/19/069/11219069_20230406144018_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,33,홍이삭,(n)everland,(n)everland,https://cdnimg.melon.co.kr/cm2/album/images/112/19/230/11219230_20230406160722_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,34,Dopein,공범,Blue Sunrise,https://cdnimg.melon.co.kr/cm2/album/images/112/18/481/11218481_20230405160548_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,35,Pa!nter,Please love me more,Please love me more,https://cdnimg.melon.co.kr/cm2/album/images/112/16/686/11216686_20230406141150_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,36,Dumo,"언제쯤, 어디부터 (with FR:EDEN)","언제쯤, 어디부터",https://cdnimg.melon.co.kr/cm2/album/images/112/18/029/11218029_20230405120638_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,37,이도리,Only Me,Only Me,https://cdnimg.melon.co.kr/cm2/album/images/112/17/928/11217928_20230405113414_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,38,캠퍼 (kvmper),"그 해 우리는 (Feat. kun, HEMO)",그 해 우리는,https://cdnimg.melon.co.kr/cm2/album/images/112/17/723/11217723_20230405102300_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,39,SHARKI,Onion,Onion,https://cdnimg.melon.co.kr/cm2/album/images/112/18/178/11218178_20230405142718_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,40,수찬,INFP (Feat. leeoh),INFP,https://cdnimg.melon.co.kr/cm2/album/images/112/18/784/11218784_20230406104836_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,41,하이디,꽃 보러 가지 않을래,꽃 보러 가지 않을래,https://cdnimg.melon.co.kr/cm2/album/images/112/18/381/11218381_20230405154433_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,42,Ian (이안),봄을 채우지,봄을 채우지,https://cdnimg.melon.co.kr/cm2/album/images/112/18/143/11218143_20230405140510_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,43,문소낙 (Sonak Moon),자동응답 (feat. 서현수),자동응답,https://cdnimg.melon.co.kr/cm2/album/images/112/18/125/11218125_20230405145507_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,44,CHRIS ONE,THE LATTE,THE LATTE,https://cdnimg.melon.co.kr/cm2/album/images/112/18/032/11218032_20230405121008_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,45,vanhymn,HURT,HURT,https://cdnimg.melon.co.kr/cm2/album/images/112/17/936/11217936_20230405114337_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,46,지프크락 (ZIPE KROCK),NO BRAKE IN MY CAR,NO BRAKE IN MY CAR,https://cdnimg.melon.co.kr/cm2/album/images/112/17/919/11217919_20230405112700_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,47,Tabber,want YOU,want YOU,https://cdnimg.melon.co.kr/cm2/album/images/112/03/128/11203128_20230314184301_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,48,JEY,Venus,Venus,https://cdnimg.melon.co.kr/cm2/album/images/112/17/582/11217582_20230404214820_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,49,from20 (프롬트웬티),Bad Revenge,Bad Revenge,https://cdnimg.melon.co.kr/cm2/album/images/112/16/064/11216064_20230403133058_500.jpg/melon/resize/282/quality/80/optimize,
R&B／Soul,50,HYUN SEO,하루필름,하루필름,https://cdnimg.melon.co.kr/cm2/album/images/112/17/583/11217583_20230404215226_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,1,이츠,낭만주의,Narcissus,https://cdnimg.melon.co.kr/cm2/album/images/112/19/357/11219357_20230406173048_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,2,off the menu (오프더메뉴),The Void,The Void,https://cdnimg.melon.co.kr/cm2/album/images/112/19/733/11219733_20230407135237_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,3,주로키 (JUROKEY),사랑은 먼지 같아도,그냥,https://cdnimg.melon.co.kr/cm2/album/images/112/19/667/11219667_20230407111519_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,4,두솜 (dusom),무궁화 꽃이 피었습니다,무궁화 꽃이 피었습니다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/648/11219648_20230407110539_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,5,클린코튼,잠들고 싶은 그대들과,잠들고 싶은 그대들과,https://cdnimg.melon.co.kr/cm2/album/images/112/19/678/11219678_20230407114222_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,6,Sof'boy Han,이사,이사,https://cdnimg.melon.co.kr/cm2/album/images/112/19/689/11219689_20230407115258_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,7,Thunder dragon,Angel,Angel,https://cdnimg.melon.co.kr/cm2/album/images/112/20/080/11220080_20230407165158_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,8,SONOBLANC,Tell me why,Tell me why,https://cdnimg.melon.co.kr/cm2/album/images/112/20/079/11220079_20230407165149_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,9,줄쟁이와북쟁이,개미,개미,https://cdnimg.melon.co.kr/cm2/album/images/112/20/021/11220021_20230407163334_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,10,오소린,봄날의 카페 (With 전태민),봄날의 카페,https://cdnimg.melon.co.kr/cm2/album/images/112/19/939/11219939_20230407153456_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,11,슨슨생,다미 (부제: 모든 것이 잘 될거야),다미,https://cdnimg.melon.co.kr/cm2/album/images/112/19/691/11219691_20230407115428_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,12,최수빈,월요일을 내어준다는 건,월요일을 내어준다는 건,https://cdnimg.melon.co.kr/cm2/album/images/112/19/655/11219655_20230407110840_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,13,유태,그때가 그리운 걸까,그때가 그리운 걸까,https://cdnimg.melon.co.kr/cm2/album/images/112/19/646/11219646_20230407110441_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,14,동욱,방청소 (Feat. 정승환),방청소,https://cdnimg.melon.co.kr/cm2/album/images/112/19/645/11219645_20230407110204_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,15,임단우,봄이 왔나봐,봄이 왔나봐,https://cdnimg.melon.co.kr/cm2/album/images/112/19/626/11219626_20230407104221_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,16,늘봄 (NL VOM),"세상이 온통 너였던 그때 내 마음 (Feat. 프리멜로, 귤(GYUL), 정영윤)",세상이 온통 너였던 그때 내 마음,https://cdnimg.melon.co.kr/cm2/album/images/112/19/625/11219625_20230407104014_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,17,21학번,코인 노래방,코인 노래방,https://cdnimg.melon.co.kr/cm2/album/images/112/19/961/11219961_20230407154724_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,18,소각소각,어쩌다 우린,누군가의 플레이리스트 #14,https://cdnimg.melon.co.kr/cm2/album/images/112/19/686/11219686_20230407114644_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,19,OoOo (오넷),영원이라는 건 없지만,영원이라는 건 없지만,https://cdnimg.melon.co.kr/cm2/album/images/112/18/749/11218749_20230406103322_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,20,김뜻돌,다섯 번째 봄,다섯 번째 봄,https://cdnimg.melon.co.kr/cm2/album/images/112/19/635/11219635_20230407105547_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,21,Sean.K,Date,Date,https://cdnimg.melon.co.kr/cm2/album/images/112/19/624/11219624_20230407103854_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,22,안희수,Drawing,Drawing,https://cdnimg.melon.co.kr/cm2/album/images/112/19/653/11219653_20230407110711_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,23,dkash (디캐시),Alcoholics (Feat. Yris Paris),Alcoholics,https://cdnimg.melon.co.kr/cm2/album/images/112/19/633/11219633_20230407105247_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,24,V1VA (비바),La Vida Loca,La Vida Loca,https://cdnimg.melon.co.kr/cm2/album/images/112/19/676/11219676_20230407112119_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,25,김페리,Wonderland (Feat. 채은),Wonderland,https://cdnimg.melon.co.kr/cm2/album/images/112/19/675/11219675_20230407111950_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,26,양현준(Hj),이별따위,Have to,https://cdnimg.melon.co.kr/cm2/album/images/112/20/020/11220020_20230407163220_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,27,현유환,Hi,Hi,https://cdnimg.melon.co.kr/cm2/album/images/112/19/912/11219912_20230407152414_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,28,Maniac Kings [매니악킹즈],Say,Say,https://cdnimg.melon.co.kr/cm2/album/images/112/19/730/11219730_20230407135057_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,29,bojvck,Break/Junkie,I THINK YOU NEED SOME BREAK,https://cdnimg.melon.co.kr/cm2/album/images/112/19/627/11219627_20230407104328_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,30,머문 (MEOMUN),또,또,https://cdnimg.melon.co.kr/cm2/album/images/112/19/617/11219617_20230407103450_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,31,HEENA,JIMMY CHUU,JIMMY CHUU,https://cdnimg.melon.co.kr/cm2/album/images/112/19/379/11219379_20230406174905_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,32,슈가볼 (Sugarbowl),연애담 : Love Story,연애담 : Love Story,https://cdnimg.melon.co.kr/cm2/album/images/112/17/902/11217902_20230405112451_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,33,주예인,내 이름을 불러줘,내 이름을 불러줘,https://cdnimg.melon.co.kr/cm2/album/images/112/19/150/11219150_20230406153553_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,34,이윤오,나랑 살래,나랑 살래,https://cdnimg.melon.co.kr/cm2/album/images/112/19/124/11219124_20230406151653_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,35,안재우,1 Step (Feat. 김미정),1 Step (Feat. 김미정),https://cdnimg.melon.co.kr/cm2/album/images/112/19/335/11219335_20230406171237_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,36,류가람,향기,향기,https://cdnimg.melon.co.kr/cm2/album/images/112/17/937/11217937_20230405114555_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,37,DAY-U (대이유),종이 마음에 쏜살같이 짙은 공허 파고든다 (feat. 김민경),종이 마음에 쏜살같이 짙은 공허 파고든다 (feat. 김민경),https://cdnimg.melon.co.kr/cm2/album/images/112/19/341/11219341_20230406171740_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,38,Caj,"19금
퐆",잠깐,https://cdnimg.melon.co.kr/cm2/album/images/112/19/339/11219339_20230406171543_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,39,DALSIA (달시아),Shadow Wings,Shadow Wings,https://cdnimg.melon.co.kr/cm2/album/images/112/19/338/11219338_20230406171431_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,40,DQT,우리 사진,우리 사진,https://cdnimg.melon.co.kr/cm2/album/images/112/19/313/11219313_20230406164657_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,41,정완,Muse,Wan;e Ⅲ,https://cdnimg.melon.co.kr/cm2/album/images/112/19/296/11219296_20230406163516_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,42,Lumel (루멜),My Bad,My Bad,https://cdnimg.melon.co.kr/cm2/album/images/112/19/270/11219270_20230406162506_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,43,양재동 사람들,실루엣 [Vocal by 담이],실루엣,https://cdnimg.melon.co.kr/cm2/album/images/112/19/255/11219255_20230406162044_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,44,정디 (JungDii),Paradise,Paradise,https://cdnimg.melon.co.kr/cm2/album/images/112/19/213/11219213_20230406160312_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,45,김개미,사라질까,사라질까,https://cdnimg.melon.co.kr/cm2/album/images/112/19/142/11219142_20230406152802_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,46,전설화,궁금해 나의 고양이,궁금해 나의 고양이,https://cdnimg.melon.co.kr/cm2/album/images/112/19/121/11219121_20230406151609_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,47,김태훈,Don't Worry,Don't Worry,https://cdnimg.melon.co.kr/cm2/album/images/112/19/110/11219110_20230406151319_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,48,Sunset On The Bridge,Freedom Train,Freedom Train,https://cdnimg.melon.co.kr/cm2/album/images/112/19/109/11219109_20230406151147_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,49,밤마루,나의 섬 나의 바다,나의 섬 나의 바다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/103/11219103_20230406150850_500.jpg/melon/resize/282/quality/80/optimize,
인디음악,50,Red C,그 자리,The Place,https://cdnimg.melon.co.kr/cm2/album/images/112/19/093/11219093_20230406150612_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,1,이츠,낭만주의,Narcissus,https://cdnimg.melon.co.kr/cm2/album/images/112/19/357/11219357_20230406173048_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,2,off the menu (오프더메뉴),The Void,The Void,https://cdnimg.melon.co.kr/cm2/album/images/112/19/733/11219733_20230407135237_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,3,주로키 (JUROKEY),사랑은 먼지 같아도,그냥,https://cdnimg.melon.co.kr/cm2/album/images/112/19/667/11219667_20230407111519_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,4,HYUNIRANG (현이랑),깊은 밤을 비추는 거울,깊은 밤을 비추는 거울,https://cdnimg.melon.co.kr/cm2/album/images/112/19/960/11219960_20230407154453_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,5,21학번,코인 노래방,코인 노래방,https://cdnimg.melon.co.kr/cm2/album/images/112/19/961/11219961_20230407154724_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,6,OoOo (오넷),영원이라는 건 없지만,영원이라는 건 없지만,https://cdnimg.melon.co.kr/cm2/album/images/112/18/749/11218749_20230406103322_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,7,eiji,April fools,April fools,https://cdnimg.melon.co.kr/cm2/album/images/112/19/705/11219705_20230407121130_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,8,김페리,Wonderland (Feat. 채은),Wonderland,https://cdnimg.melon.co.kr/cm2/album/images/112/19/675/11219675_20230407111950_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,9,Ashall,"Love Is Time 2 Broken (Feat. TREVI, Kris Main)",Love Is Time 2 Broken,https://cdnimg.melon.co.kr/cm2/album/images/112/19/927/11219927_20230407152907_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,10,Maniac Kings [매니악킹즈],Say,Say,https://cdnimg.melon.co.kr/cm2/album/images/112/19/730/11219730_20230407135057_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,11,TONLIZ,Replay (Feat. Youngcode),Page,https://cdnimg.melon.co.kr/cm2/album/images/112/19/656/11219656_20230407110922_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,12,김윤아,강,행복한 사랑은 없네,https://cdnimg.melon.co.kr/cm2/album/images/112/19/239/11219239_20230406161407_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,13,난아진,LEAD,조선변호사 오리지널 사운드 트랙 2,https://cdnimg.melon.co.kr/cm2/album/images/112/18/681/11218681_20230405175205_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,14,DALSIA (달시아),Shadow Wings,Shadow Wings,https://cdnimg.melon.co.kr/cm2/album/images/112/19/338/11219338_20230406171431_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,15,에테,새벽별,새벽별,https://cdnimg.melon.co.kr/cm2/album/images/112/19/336/11219336_20230406171357_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,16,아스카 (ASUKA),돌길,돌길,https://cdnimg.melon.co.kr/cm2/album/images/112/19/308/11219308_20230406164429_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,17,BEFREE (비프리),실루엣(Silhouette),BORN FOR,https://cdnimg.melon.co.kr/cm2/album/images/112/19/301/11219301_20230406163825_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,18,정완,Muse,Wan;e Ⅲ,https://cdnimg.melon.co.kr/cm2/album/images/112/19/296/11219296_20230406163516_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,19,타임코스모스,불면,불면,https://cdnimg.melon.co.kr/cm2/album/images/112/19/278/11219278_20230406162918_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,20,Sunset On The Bridge,Freedom Train,Freedom Train,https://cdnimg.melon.co.kr/cm2/album/images/112/19/109/11219109_20230406151147_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,21,밤마루,나의 섬 나의 바다,나의 섬 나의 바다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/103/11219103_20230406150850_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,22,Red C,그 자리,The Place,https://cdnimg.melon.co.kr/cm2/album/images/112/19/093/11219093_20230406150612_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,23,그린스마일 (Green smile),미안해요,미안해요,https://cdnimg.melon.co.kr/cm2/album/images/112/19/075/11219075_20230406150019_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,24,Vivid Slow (비비드 슬로우),Astral Hole (Feat. H3athr Sun),Astral Hole (Feat. H3athr Sun),https://cdnimg.melon.co.kr/cm2/album/images/112/19/066/11219066_20230406141921_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,25,Pebecco,작업실 그때,작업실 그때,https://cdnimg.melon.co.kr/cm2/album/images/112/18/675/11218675_20230405173333_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,26,라 블랑캣 (La Blancat),Home alone,Home alone,https://cdnimg.melon.co.kr/cm2/album/images/112/18/233/11218233_20230405145109_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,27,문웅주,문과 문 사이에 잠들어버린 나는,빨간소파,https://cdnimg.melon.co.kr/cm2/album/images/112/17/924/11217924_20230405113054_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,28,김민성,연인,연인,https://cdnimg.melon.co.kr/cm2/album/images/112/18/551/11218551_20230405170431_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,29,김달,벽,Off The Wall,https://cdnimg.melon.co.kr/cm2/album/images/112/18/189/11218189_20230405143122_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,30,이주연,Fireball,Fireball,https://cdnimg.melon.co.kr/cm2/album/images/112/18/704/11218704_20230406095900_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,31,GeuRuJam (그루잠),늦었지만,Two&One,https://cdnimg.melon.co.kr/cm2/album/images/112/18/700/11218700_20230405184531_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,32,이지선 밴드,가청주파수,가청주파수,https://cdnimg.melon.co.kr/cm2/album/images/112/18/236/11218236_20230405145633_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,33,Sonergy,Log in,LOG IN,https://cdnimg.melon.co.kr/cm2/album/images/112/18/142/11218142_20230405140352_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,34,민광진,정했지 뭐야 (Feat. 서상욱),정했지 뭐야 (Feat. 서상욱),https://cdnimg.melon.co.kr/cm2/album/images/112/18/123/11218123_20230405134023_500.jpg/melon/resize/282/quality/80/optimize,
록／메탈,35,니하,소음,소음,https://cdnimg.melon.co.kr/cm2/album/images/112/17/926/11217926_20230405113234_500.jpg/melon/resize/282/quality/80/optimize,
