아티스트,곡명,앨범명,앨범이미지,유튜브링크
그루비룸 (GroovyRoom) & 릴러말즈 (Leellamarz),도시생활,ROOM SERVICE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/266/713/81266713_1568015856969_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3gOqj-82K-c
헤이즈 (Heize),비도 오고 그래서 (Feat. 신용재),/// (너 먹구름 비),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/960/357/80960357_1498458172138_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=afxLaQiLu-o
토이 (Toy),오늘 서울은 하루종일 맑음 (Vocal 윤하),Thank You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/054/420/313/54420313_1467861399793_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wxw2tFXU1zk
이무진,비와 당신,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/046/141/82046141_1623982564944_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edbIsqPlJ8w
어반자카파,Let It Rain,Beautiful Day,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/289/820/80289820_1333354190040_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-Akvj0E7iyw
Faye Wong (왕정문),몽중인,중경삼림 (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/822/321/80822321_1590455706321_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WjbjAoAIW_0
Qin Qi,Si Mu De Ren,타락천사,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/803/506/80803506_1590455705855_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O4wXvQRNtUQ
Nat King Cole,"Quizas, Quizas, Quizas",화양연화 (Original Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/803/507/80803507_1591078693408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Fg95PhPg6s
The Mamas & The Papas,California Dreamin',중경삼림 (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/822/321/80822321_1590455706321_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-aK6JnyFmk
Shirley kwan,Wang Ji Ta,All Time Favourites,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/402/665/42402665_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lBe8WPkCcyo
