아티스트,곡명,앨범명,앨범이미지,유튜브링크
Diana Panton,Sing,I Believe In Little Things,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/880/016/81880016_1612307125942_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hNeZhM64Z_U
Blossom Dearie,Quiet Nights Of Quiet Stars (Corcovado),May I Come In?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/594/827/43594827_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u8aPizOLLHs
Jack Jezzro,I've Got A Crush On You (Feat. Denis Solee),Best Of Denis Solee : Jazz Sax Performances,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/257/991/81257991_1565917360193_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rZowVNoZzEU
Natalie Cole,The Very Thought Of You,Unforgettable...With Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/515/604/82515604_1643857827255_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=75P3TrQsz0E
Julie London,When I Fall In Love,The Very Best Of Julie London,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/728/423/80728423_1551682674815_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HrXnXkDioS0
The Beegie Adair Trio,A Fine Romance,The Way You Look Tonight,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/994/509/79994509_1459909399713_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=g66-AfElwlc
Barry Harris Trio,All The Things You Are,Breakin' It Up,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/147/436/81147436_1547177117528_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iCsw0NjXY1U
McCoy Tyner,"My One And Only Love (Live At Merkin Hall, NYC / 1989)",Things Ain't What They Used To Be (Live),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/602/552/80602552_1434612422758_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZHoWFK-N9YY
Oscar Peterson Trio,Spring Is Here,Romance / The Vocal Styling Of Oscar Peterson,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/299/375/80299375_1546508248858_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=06kjEhJOPVg
Molly Johnson,It's Only Love (And I Believed You),The Molly Johnson Songbook,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/281/545/80281545_1327651879520_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-3kvODX2zCk
