아티스트,곡명,앨범명,앨범이미지,유튜브링크
APOKI,Bad Girl,가우스전자 OST Part 5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/118/464/83118464_1666948443217_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AOdfJRxPuWs
LUCY,눈이 부신다 (Inst.),가우스전자 OST Part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/994/624/82994624_1664527410508_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GAJp8u_7OiY
김종완 (NELL),Because I Love You (Inst.),가우스전자 OST Part 2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/049/253/83049253_1665049612442_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=76vTJCOhvJY
효린,비개인 (BEGAN) (Inst.),가우스전자 OST Part 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/041/665/83041665_1665725962768_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LEfuLhhkC5E
Zeenan,We are young (Inst.),가우스전자 OST Part 4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/097/508/83097508_1666341079781_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Lrs-VjI__2M
가우스전자,가우스 작사 AI 작곡,가우스 작사 AI 작곡,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/928/256/82928256_1661739152977_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NXxj4kQnTnw
유주 (YUJU),아메리카노 같아 넌,키스 식스 센스 OST Part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/706/013/82706013_1653383466793_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Zq8i9lv5kvk
지아 (Zia),가질 수 없어도,키스 식스 센스 OST Part 2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/719/839/82719839_1653989014113_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CWKK17MU7Xc
이준화,Kiss Sixth Sense,키스 식스 센스 OST Part 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/726/669/82726669_1654240836990_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V4ggy9KEeXs
SURAN (수란),Fantasy,키스 식스 센스 OST Part 4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/735/573/82735573_1654658251503_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SX5uIl_XiYA
웅산,You Make Me,키스 식스 센스 OST Part 5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/742/405/82742405_1654839155428_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2aKDCBldoS0
그리즐리 (Grizzly),Stay With Me,키스 식스 센스 OST Part 6,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/755/032/82755032_1655187201259_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kyxf9BCPHxo
나윤권,Give You Everything,키스 식스 센스 OST Part 7,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/772/249/82772249_1655777490056_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BA5DyOYrkFc
재연 (SWAY),Here We Are,키스 식스 센스 OST Part 8,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/779/101/82779101_1655974789392_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2uzWKTEaxK4
김도희,그게 잘 안돼,키스 식스 센스 OST Part 9,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/789/577/82789577_1656386884170_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XFYgkSsKmzQ
개미 & 이준화,그래 가보자,키스 식스 센스 OST Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/794/597/82794597_1656656170303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RErilSD7Cz8
이준화,Dumb Dumb,키스 식스 센스 OST Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/794/597/82794597_1656656170303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KWyAqqxDnyU
데빈,Not Bad,키스 식스 센스 OST Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/794/597/82794597_1656656170303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4y155mQs6pQ
유민호,Scent,키스 식스 센스 OST Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/794/597/82794597_1656656170303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HiO3wTrlCM8
이성구,Yesool Theme,키스 식스 센스 OST Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/794/597/82794597_1656656170303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PKmwb5tjGyU
