아티스트,곡명,앨범명,앨범이미지,유튜브링크
Lucy Dacus,It's Too Late,Home Again / It's Too Late,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/020/042/83020042_1664939143197_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KDPKwEKhbNY
DAUGHTER,Smother,If You Leave,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/368/525/80368525_1433134072823_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GnkzvAXWV-0
Julien Baker,Happy To Be Here,Turn Out The Lights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/997/579/80997579_1509012142262_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TVhI8TB3G70
Oliver Sim,Saccharine,Hideous Bastard,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/958/593/82958593_1662596747913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bi1q4QaecYA
The National,About Today (2021 Remaster),Cherry Tree (2021 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/126/428/83126428_1667182369786_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-nq3SmUkvw
Snail Mail,Light Blue,Valentine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/876/302/82876302_1659666058502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JGVfje8IqxM
The XX,On Hold,I See You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/912/968/80912968_1670521530369_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=blJKoXWlqJk
not dvr,lonely,tape_01,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/091/82858091_1658970984348_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZNL2VxABfbs
Ex:Re,Too Sad,Ex : Re,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/132/094/81132094_1543541510663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cm0NizMnejU
Perfume Genius,Leave,"Set My Heart On Fire, Immediately","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/445/867/81445867_1597476703608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lRBVtNZmTuQ
Radiohead,Separator,The King Of Limbs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/253/353/80253353_1462359712241_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KmpzIU301VU
정승환,그런 날이 올까요,"그런 날이 올까요 (오늘 밤, 세계에서 이 사랑이 사라진다 해도 X 정승환)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/506/774/83506774_1675733419997_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IHaL49FxCn8
주호,잘가요,잘가요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/250/113/83250113_1669961939741_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yfeaSjN1kSo
전상근 & 리트너 프로젝트,이 겨울이 지나면 그땐 봄이 올까요,이 겨울이 지나면 그땐 봄이 올까요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/503/089/83503089_1675410258129_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uTWgOevr1ro
한동근,후애,우리의 디데이 OST Part.1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/493/818/83493818_1675145498009_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W2QzVhz0bVA
마크툽 (Maktub),눈의 꽃 (雪の華),눈의 꽃 (雪の華),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/394/418/83394418_1672986900847_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZKPaUmvjhV8
권진아,You,대행사 OST Part.4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/478/484/83478484_1674785124670_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zru6e9KGxy0
레이나,그때 우리처럼,그때 우리처럼,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/520/055/83520055_1675733275288_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JlBRv5d4cjU
강찬휘,돌아서는 네 모습을 난 아직도 그리워 해,돌아서는 네 모습을 난 아직도 그리워 해,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/389/602/83389602_1672638959875_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WuHIp4nuuOY
경서,Wonder Why,사랑의 이해 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/520/340/83520340_1675832541967_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aWZuhwo3tPY
#안녕,몇 번의 이별,몇 번의 이별,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/335/694/83335694_1672294067612_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SS5mdirbJKQ
유다원,이렇게 멋진 밤에,이렇게 멋진 밤에,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/335/089/83335089_1672038780642_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xIv-RA7e_MU
izi,내 사랑 내 곁에,전부노래잘함 - izi편,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/335/066/83335066_1671775968885_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rq4xrbM9cec
스트레이 (The Stray),바다를 건너,바다를 건너,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/330/753/83330753_1671775753667_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mQfsThUGo_w
여로,그제야 하루가 끝이 나니까 (Feat. 한동근),그제야 하루가 끝이 나니까,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/311/217/83311217_1671179953320_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3Ffx-0V4VN4
서인국,Fallen,Fallen,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/267/406/83267406_1670238936987_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8_nzLO2OBmc
벤,늘.. (Waiting..),늘.. (Waiting..),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/049/761/83049761_1665127011524_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UWpNrincqpI
KCM,아름답던 별들의 밤,아름답던 별들의 밤,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/046/414/83046414_1665123743899_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0bVTI57RvIY
견우 (Kyunwoo),왜 나는 아직도,왜 나는 아직도,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/024/238/83024238_1664520022117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0eHhWHZqVoo
유다원,우리 사랑이,우리 사랑이,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/113/737/83113737_1667175083877_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3EY-FaWr7Ak
#안녕,해요 (2022),해요 (2022),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/727/185/82727185_1654248208229_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P6gV_t70KAk
폴킴,어제처럼,어제처럼,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/554/511/82554511_1645771848862_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3m2F8F7YSZc
임한별,떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/083/139/83083139_1666077446742_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5rO-t7u6OE4
김나영,못해,못해 (Re : WIND 4MEN Vol.02),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/041/330/83041330_1664877726489_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cDisBJk9xMQ
린 (LYn),백야,백야,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/980/923/82980923_1663298427371_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=B3nZ4okNyq8
벤,기념일,추억을 말하는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/995/995/82995995_1663743802371_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zHdOcVH7ZQY
테이 (Tei),Monologue,Monologue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/983/095/82983095_1666323297427_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IeDb7OrnGNE
주호,내가 아니라도,내가 아니라도,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/602/752/82602752_1648117827255_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lAq9l8o6UXU
한동근,새벽에 걸려온 너의 전화는,미련을 말하는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/789/82858789_1659075929023_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D0oipIheaUM
탑현,호랑수월가,호랑수월가,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/478/791/82478791_1642139458920_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D92O5JT3E8A
이영현,그래서 그대는,그래서 그대는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/052/845/83052845_1665129741443_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O_zZgan8bxg
스트레이 (The Stray),달,달,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/973/776/82973776_1663203580939_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NIF1-QFIuIQ
권진아,진심이었던 사람만 바보가 돼,진심이었던 사람만 바보가 돼,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/067/957/83067957_1665644704144_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c3IKZSWzwBY
이예준,살다가 한번쯤,살다가 한번쯤 (Re : WIND 4MEN Vol.03),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/154/827/83154827_1668067192434_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=F5zU1YUJrtk
