아티스트,곡명,앨범명,앨범이미지,유튜브링크
듀스 (Deux),굴레를 벗어나 (Mo Funk Ver.),듀스 3집 - Force Deux,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/034/669/15034669_1310527192067_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=E-nLA-kqZw4
자우림,일탈,Purple Heart,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/035/417/15035417_1382424879969_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PYhqyomERyA
크라잉넛 (CRYING NUT),말달리자,말달리자,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/035/917/15035917_1406280095407_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9jTOtvExJuA
신화,Yo!,Twinkling Of Paradise,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/036/483/15036483_1323222236768_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=43C_CB_xi2c
지오디 (god),촛불하나,Chapter 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/024/385/15024385_1331514195471_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=h_DnVzMrkkg
드렁큰 타이거,너희가 힙합을 아느냐?,Year of The Tiger,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/036/731/15036731_1311571705005_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=np42odaM8jw
MC 스나이퍼,봄이여 오라 (Feat.유리) ,How Bad Do U Want It?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/046/824/814/46824814_1405059108667_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xFkjnVIYU2Y
DJ DOC,Street Life (Feat. Big Mama & Ill Skillz),Street Life (2nd Single),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/562/15027562_1405328383336_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UIfNrS0FCy4
서태지와 아이들,발해를 꿈꾸며,발해를 꿈꾸며,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/034/264/15034264_1310532518238_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7kr1IXHMUrc
DJ DOC,삐걱삐걱,DJ. DOC 4th Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/035/475/15035475_1312529055225_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RPOgZvTbFB0
타샤니 (Tashannie),경고,Parallel Prophecys,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/036/494/15036494_1323140586203_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p3KQH3px0Mg
