장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_R&B／Soul,30,H.E.R.,Best Part (Feat. Daniel Caesar),H.E.R.,https://cdnimg.melon.co.kr/cm/album/images/101/01/371/10101371_500.jpg,https://www.youtube.com/watch?v=hKgl5-lkT8U
해외_R&B／Soul,31,Bruno Mars,Treasure,Unorthodox Jukebox,https://cdnimg.melon.co.kr/cm/album/images/021/69/778/2169778_500.jpg,https://www.youtube.com/watch?v=nPvuNsRccVw
해외_R&B／Soul,32,Bazzi,I.F.L.Y.,Soul Searching,https://cdnimg.melon.co.kr/cm/album/images/103/08/884/10308884_500.jpg,https://www.youtube.com/watch?v=4ZtdiuSGNrY
해외_R&B／Soul,33,Kiana Lede,EX,Selfless,https://cdnimg.melon.co.kr/cm/album/images/102/10/920/10210920_500.jpg,https://www.youtube.com/watch?v=aj3bYLG4U7k
해외_R&B／Soul,34,UMI,Love Affair,Love Language,https://cdnimg.melon.co.kr/cm2/album/images/103/44/706/10344706_500.jpg,https://www.youtube.com/watch?v=7P1G7CJpBX4
해외_R&B／Soul,35,keshi,2 soon,2 soon,https://cdnimg.melon.co.kr/cm/album/images/102/25/410/10225410_500.jpg,https://www.youtube.com/watch?v=0bjJdR0CpO4
해외_R&B／Soul,36,Hamzaa,Sunday Morning,Phases EP,https://cdnimg.melon.co.kr/cm/album/images/103/16/399/10316399_500.jpg,https://www.youtube.com/watch?v=Oi5XrFUmIiI
해외_R&B／Soul,37,John Legend,All Of Me,Love In The Future (Standard),https://cdnimg.melon.co.kr/cm/album/images/021/99/408/2199408_500.jpg,https://www.youtube.com/watch?v=450p7goxZqg
해외_R&B／Soul,38,Kamal.,blue,blue,https://cdnimg.melon.co.kr/cm2/album/images/104/31/953/10431953_20200519105334_500.jpg,https://www.youtube.com/watch?v=55vK6hMA1Nc
해외_R&B／Soul,39,Keyshia Cole,Love,The Way It Is,https://cdnimg.melon.co.kr/cm/album/images/003/06/410/306410_500.jpg,https://www.youtube.com/watch?v=d3LfmnQJI_c
해외_R&B／Soul,40,keshi,right here,right here,https://cdnimg.melon.co.kr/cm2/album/images/103/31/009/10331009_500.jpg,https://www.youtube.com/watch?v=7J1ZsBwsLyw
해외_R&B／Soul,41,Bren Joy,Insecure (feat. Pink Sweat$),Twenties (Deluxe),https://cdnimg.melon.co.kr/cm2/album/images/104/48/814/10448814_20210329152114_500.jpg,https://www.youtube.com/watch?v=-Ta-Utziv2I
해외_R&B／Soul,42,Sam Fischer,This City,Homework - EP,https://cdnimg.melon.co.kr/cm2/album/images/103/63/724/10363724_20200828110103_500.jpg,https://www.youtube.com/watch?v=s3IAHXP1dfs
해외_R&B／Soul,43,Bruno Mars,Count On Me,Doo-Wops & Hooligans (International Ver.),https://cdnimg.melon.co.kr/cm/album/images/011/75/856/1175856_500.jpg,https://www.youtube.com/watch?v=zmTQrK4Q4q4
해외_R&B／Soul,44,Bruno Mars,Talking To The Moon,Doo-Wops & Hooligans (International Ver.),https://cdnimg.melon.co.kr/cm/album/images/011/75/856/1175856_500.jpg,https://www.youtube.com/watch?v=P-FrQnI3slU
해외_R&B／Soul,45,John Legend,P.D.A. (We Just Don't Care),Once Again,https://cdnimg.melon.co.kr/cm/album/images/003/29/663/329663_500.jpg,https://www.youtube.com/watch?v=ZwbNesQeods
