장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_록／메탈,88,Keira Knightley,A Step You Can’t Take Back,Begin Again - Music From And Inspired By The Original Motion Picture,https://cdnimg.melon.co.kr/cm/album/images/022/66/865/2266865_500.jpg,https://www.youtube.com/watch?v=cQqRX0GC_6I
해외_록／메탈,89,Cigarettes After Sex,Apocalypse,Cigarettes After Sex,https://cdnimg.melon.co.kr/cm/album/images/100/84/781/10084781_500.jpg,https://www.youtube.com/watch?v=5ey60YJmjQE
해외_록／메탈,90,The Beatles,I Will (Remastered 2009),The Beatles (Remastered),https://cdnimg.melon.co.kr/cm/album/images/026/67/509/2667509_500.jpg,https://www.youtube.com/watch?v=p-abNGP1BK4
해외_록／메탈,91,John Mayer,You're Gonna Live Forever in Me,The Search for Everything,https://cdnimg.melon.co.kr/cm/album/images/100/41/567/10041567_500.jpg,https://www.youtube.com/watch?v=uvDkhBEXUDs
해외_록／메탈,92,Coldplay,Hymn for the Weekend,A Head Full of Dreams,https://cdnimg.melon.co.kr/cm/album/images/026/54/634/2654634_500.jpg,https://www.youtube.com/watch?v=YykjpeuMNEk
해외_록／메탈,93,Jagwar Twin,Happy Face,Happy Face,https://cdnimg.melon.co.kr/cm2/album/images/105/99/731/10599731_20210428190101_500.jpg,https://www.youtube.com/watch?v=SJPxpnI5EGQ
해외_록／메탈,94,Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,https://cdnimg.melon.co.kr/cm/album/images/003/85/861/385861_500.jpg,https://www.youtube.com/watch?v=dvgZkm1xWPE
해외_록／메탈,95,G-DRAGON,Can't Help Falling in Love (Bonus Track),ELVIS (Original Motion Picture Soundtrack) DELUXE EDITION,https://cdnimg.melon.co.kr/cm2/album/images/111/97/157/11197157_20230306181943_500.jpg,https://www.youtube.com/watch?v=mqTgFELRpSk
해외_록／메탈,96,Muse,Time Is Running Out,Absolution,https://cdnimg.melon.co.kr/cm/album/images/000/32/804/32804_500.jpg,https://www.youtube.com/watch?v=O2IuJPh6h_A
해외_록／메탈,97,John Lennon,Imagine (Remastered 2010),Imagine,https://cdnimg.melon.co.kr/cm/album/images/021/71/400/2171400_500.jpg,https://www.youtube.com/watch?v=EcPsB6PwaiE
해외_록／메탈,98,The Score,Legend,Myths & Legends,https://cdnimg.melon.co.kr/cm/album/images/100/57/380/10057380_500.jpg,https://www.youtube.com/watch?v=jecQcgbyetw
해외_록／메탈,99,Lana Del Rey,Young And Beautiful,Young And Beautiful,https://cdnimg.melon.co.kr/cm/album/images/021/82/573/2182573_500.jpg,https://www.youtube.com/watch?v=o_1aF54DO60
해외_록／메탈,100,The Script,The Man Who Can't Be Moved,The Script,https://cdnimg.melon.co.kr/cm/album/images/003/92/987/392987_500.jpg,https://www.youtube.com/watch?v=gS9o1FAszdk
