장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_발라드,29,DK(디셈버),발걸음,발걸음,https://cdnimg.melon.co.kr/cm2/album/images/112/13/288/11213288_20230329152659_500.jpg,https://www.youtube.com/watch?v=1Zv_iZmpz64
국내_발라드,30,최유리,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/album/images/111/30/072/11130072_20221226144743_500.jpg,https://www.youtube.com/watch?v=mwTnWKAvFyo
국내_발라드,31,경서,밤하늘의 별을(2020),밤하늘의 별을(2020),https://cdnimg.melon.co.kr/cm2/album/images/105/18/234/10518234_20210216102853_500.jpg,https://www.youtube.com/watch?v=qW7lMRUsvM0
국내_발라드,32,신예영,네가 보고 싶은 건 자연스러운 거겠지,혼잣말 獨白,https://cdnimg.melon.co.kr/cm2/album/images/111/54/383/11154383_20230120160612_500.jpg,https://www.youtube.com/watch?v=7Guo0_JPcbU
국내_발라드,33,임한별,떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어,https://cdnimg.melon.co.kr/cm2/album/images/110/78/887/11078887_20221018101221_500.jpg,https://www.youtube.com/watch?v=j4m_0U9nzkI
국내_발라드,34,임영웅,아버지,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=An7ZnTEz40s
국내_발라드,35,성시경,희재,국화꽃 향기 OST,https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg,https://www.youtube.com/watch?v=-pPDEayEY4M
국내_발라드,36,임영웅,인생찬가,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=D2KMOhqyjnY
국내_발라드,37,아이유,내 손을 잡아,최고의 사랑 OST Part.4,https://cdnimg.melon.co.kr/cm/album/images/012/86/252/1286252_500.jpg,https://www.youtube.com/watch?v=3iM_06QeZi8
국내_발라드,38,"송하예, 한빈 (포맨)",바보가슴,바보가슴,https://cdnimg.melon.co.kr/cm2/album/images/112/15/407/11215407_20230331163856_500.jpg,https://www.youtube.com/watch?v=SSL0efJi6Xo
국내_발라드,39,김연지,사랑의 인사,사랑의 인사,https://cdnimg.melon.co.kr/cm2/album/images/112/02/915/11202915_20230314153749_500.jpg,https://www.youtube.com/watch?v=gwRkvYc59_s
국내_발라드,40,한동근,새벽에 걸려온 너의 전화는,미련을 말하는,https://cdnimg.melon.co.kr/cm2/album/images/110/17/954/11017954_20220729152931_500.jpg,https://www.youtube.com/watch?v=D0oipIheaUM
국내_발라드,41,이예준,니 번호가 뜨는 일,니 번호가 뜨는 일,https://cdnimg.melon.co.kr/cm2/album/images/111/49/970/11149970_20230116194052_500.jpg,https://www.youtube.com/watch?v=wnz1mdUa3ZA
국내_발라드,42,순순희(기태),그대가 내 안에 박혔다(그내박),그대가 내 안에 박혔다(그내박),https://cdnimg.melon.co.kr/cm2/album/images/111/54/218/11154218_20230120135907_500.jpg,https://www.youtube.com/watch?v=RyiFowxqN-Q
국내_발라드,43,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg,https://www.youtube.com/watch?v=m3DZsBw5bnE
국내_발라드,44,멜로망스,선물,Moonlight,https://cdnimg.melon.co.kr/cm/album/images/100/78/176/10078176_500.jpg,https://www.youtube.com/watch?v=lnRF7__IRDY
국내_발라드,45,김필,다시 사랑한다면 (니글니글 버터플라이),복면가왕 47회,https://cdnimg.melon.co.kr/cm/album/images/026/68/301/2668301_500.jpg,https://www.youtube.com/watch?v=YyKSZARBcGo
국내_발라드,46,태연 (TAEYEON),혼자서 걸어요 (Prod. by 나얼),나얼 <Ballad Pop City>,https://cdnimg.melon.co.kr/cm2/album/images/111/64/057/11164057_20230201185453_500.jpg,https://www.youtube.com/watch?v=qSdyigEP2jY
국내_발라드,47,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,우린 그렇게 사랑해서,https://cdnimg.melon.co.kr/cm2/album/images/110/63/334/11063334_20220923180858_500.jpg,https://www.youtube.com/watch?v=k9Hu3Hbm5GM
국내_발라드,48,Sondia,어른,나의 아저씨 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/101/52/984/10152984_500.jpg,https://www.youtube.com/watch?v=5a-tqIQc8RM
국내_발라드,49,아이유,드라마,조각집,https://cdnimg.melon.co.kr/cm2/album/images/108/27/816/10827816_20211229143632_500.jpg,https://www.youtube.com/watch?v=vORDkdgLzEs
국내_발라드,50,이무진,눈이 오잖아(Feat.헤이즈),눈이 오잖아(Feat.헤이즈),https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg,https://www.youtube.com/watch?v=9MJsZUCfuwM
국내_발라드,51,아이유,밤편지,밤편지,https://cdnimg.melon.co.kr/cm/album/images/100/47/890/10047890_500.jpg,https://www.youtube.com/watch?v=BzYnNdJhZQw
국내_발라드,52,투모로우바이투게더,이젠 안녕,이젠 안녕 (연애혁명 X 투모로우바이투게더),https://cdnimg.melon.co.kr/cm2/album/images/111/83/717/11183717_20230222013603_500.jpg,https://www.youtube.com/watch?v=2-hnCCCFEM8
국내_발라드,53,허각,너 하나 빼는 일,너 하나 빼는 일,https://cdnimg.melon.co.kr/cm2/album/images/111/98/633/11198633_20230309190900_500.jpg,https://www.youtube.com/watch?v=wi5EefCU9K0
국내_발라드,54,김호중,그중에 그대를 만나,삼남매가 용감하게 OST Part.1,https://cdnimg.melon.co.kr/cm2/album/images/110/62/828/11062828_20220923105240_500.jpg,https://www.youtube.com/watch?v=Re-na85d8l0
국내_발라드,55,양다일,사랑해도 될까요,사랑해도 될까요,https://cdnimg.melon.co.kr/cm2/album/images/111/48/251/11148251_20230113154153_500.jpg,https://www.youtube.com/watch?v=ekK_-44qdbs
국내_발라드,56,21학번,스티커 사진,스티커 사진,https://cdnimg.melon.co.kr/cm2/album/images/110/01/347/11001347_20220711164254_500.jpg,https://www.youtube.com/watch?v=ArvOtRsecVQ
국내_발라드,57,케이시 (Kassy),언제나 사랑해,조영수 리메이크 프로젝트 Part.2,https://cdnimg.melon.co.kr/cm2/album/images/108/57/681/10857681_20220204162442_500.jpg,https://www.youtube.com/watch?v=mHRqPS2pqD0
국내_발라드,58,#안녕,가질 수 없는 너,가질 수 없는 너,https://cdnimg.melon.co.kr/cm2/album/images/112/18/682/11218682_20230405175243_500.jpg,https://www.youtube.com/watch?v=M53DVF42a2k
국내_발라드,59,산들,취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (취향저격 그녀 X 산들),https://cdnimg.melon.co.kr/cm2/album/images/104/63/600/10463600_20200720152905_500.jpg,https://www.youtube.com/watch?v=d2ytH5mymWY
국내_발라드,60,케이윌,Love Blossom (러브블러썸),The 3rd Album Part.2 'Love Blossom (러브블러썸)',https://cdnimg.melon.co.kr/cm/album/images/021/80/379/2180379_500.jpg,https://www.youtube.com/watch?v=iRGOb6aKcgw
국내_발라드,61,에일리(Ailee),첫눈처럼 너에게 가겠다,도깨비 OST Part.9,https://cdnimg.melon.co.kr/cm/album/images/100/29/181/10029181_500.jpg,https://www.youtube.com/watch?v=6rS7OUGXUik
국내_발라드,62,포맨 (4MEN),미친거니,미친거니 (Made in 4MEN),https://cdnimg.melon.co.kr/cm2/album/images/112/10/017/11210017_20230324104149_500.jpg,https://www.youtube.com/watch?v=pSzZbIsmVM8
국내_발라드,63,#안녕,너의 번호를 누르고 (Prod. 영화처럼),너의 번호를 누르고,https://cdnimg.melon.co.kr/cm2/album/images/103/59/126/10359126_500.jpg,https://www.youtube.com/watch?v=4OWRJ8Hnkz4
국내_발라드,64,딘딘 (DINDIN),이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),이러면 안 될 거 아는데 너 앞에만 서면 나락,https://cdnimg.melon.co.kr/cm2/album/images/107/39/711/10739711_20211013174125_500.jpg,https://www.youtube.com/watch?v=KgOfyyaOkEs
국내_발라드,65,멜로망스,고백,세 번째 '고백',https://cdnimg.melon.co.kr/cm2/album/images/106/95/590/10695590_20210827162225_500.jpg,https://www.youtube.com/watch?v=IgPcbE--mMA
국내_발라드,66,MSG워너비(M.O.M),바라만 본다,MSG워너비 1집,https://cdnimg.melon.co.kr/cm2/album/images/106/38/275/10638275_20210625172521_500.jpg,https://www.youtube.com/watch?v=-rM5JjNfPHA
국내_발라드,67,조정석,아로하,슬기로운 의사생활 OST Part 3,https://cdnimg.melon.co.kr/cm2/album/images/104/09/054/10409054_20200326163459_500.jpg,https://www.youtube.com/watch?v=3DOkxQ3HDXE
국내_발라드,68,정키,나는 잘 지내 (Feat. 정승환),i'm fine.,https://cdnimg.melon.co.kr/cm2/album/images/112/16/279/11216279_20230403151107_500.jpg,https://www.youtube.com/watch?v=9-OdJ4SLGt4
국내_발라드,69,양다일,꽃,설렘을 말하는,https://cdnimg.melon.co.kr/cm2/album/images/112/10/425/11210425_20230324155749_500.jpg,https://www.youtube.com/watch?v=bAOo30QNTm0
국내_발라드,70,엠씨더맥스 (M.C the MAX),어디에도,pathos,https://cdnimg.melon.co.kr/cm/album/images/026/64/299/2664299_500.jpg,https://www.youtube.com/watch?v=va5rf20Un24
국내_발라드,71,성시경,거리에서,The Ballads,https://cdnimg.melon.co.kr/cm/album/images/003/28/396/328396_500.jpg,https://www.youtube.com/watch?v=v_K4tnMYsn4
국내_발라드,72,정승환,너였다면,또 오해영 OST Part.5,https://cdnimg.melon.co.kr/cm/album/images/026/87/963/2687963_500.jpg,https://www.youtube.com/watch?v=bkEpWA-4FfU
국내_발라드,73,탑현,사랑한다고 말해줘,사랑한다고 말해줘,https://cdnimg.melon.co.kr/cm2/album/images/110/23/572/11023572_20220805140858_500.jpg,https://www.youtube.com/watch?v=K00aCXY2LY0
국내_발라드,74,케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,LOVE & HATE,https://cdnimg.melon.co.kr/cm2/album/images/109/60/568/10960568_20220518153132_500.jpg,https://www.youtube.com/watch?v=y9EM9IV2UKk
국내_발라드,75,나얼,걸음을 멈추는 날,나얼 <Ballad Pop City>,https://cdnimg.melon.co.kr/cm2/album/images/111/90/025/11190025_20230224182947_500.jpg,https://www.youtube.com/watch?v=HQJwA9DFmNE
국내_발라드,76,노을,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,https://cdnimg.melon.co.kr/cm2/album/images/103/48/811/10348811_500.jpg,https://www.youtube.com/watch?v=pu41QJr39z8
국내_발라드,77,"김호중, 송가인",당신을 만나,당신을 만나,https://cdnimg.melon.co.kr/cm2/album/images/111/54/876/11154876_20230121133335_500.jpg,https://www.youtube.com/watch?v=8dVhvoXIA4w
국내_발라드,78,안예은,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),낮에 뜨는 달 (낮에 뜨는 달 X 안예은),https://cdnimg.melon.co.kr/cm2/album/images/112/05/975/11205975_20230317114358_500.jpg,https://www.youtube.com/watch?v=3GHp14Tddbw
국내_발라드,79,폴킴,있잖아,연애플레이리스트2 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/100/81/477/10081477_500.jpg,https://www.youtube.com/watch?v=mOkNH94qQ3o
국내_발라드,80,"에릭남 (Eric Nam), 웬디 (WENDY)",봄인가 봐 (Spring Love),봄인가 봐 (Spring Love) - SM STATION,https://cdnimg.melon.co.kr/cm/album/images/026/70/807/2670807_500.jpg,https://www.youtube.com/watch?v=erErBFKPbMY
국내_발라드,81,"경서예지, 전건호",그 겨울이 잠든 거리에서,그 겨울이 잠든 거리에서 (경서예지 x 전건호),https://cdnimg.melon.co.kr/cm2/album/images/111/20/045/11120045_20221209143454_500.jpg,https://www.youtube.com/watch?v=AxOW5Mjefq0
국내_발라드,82,정동하,추억은 만남보다 이별에 남아,추억은 만남보다 이별에 남아,https://cdnimg.melon.co.kr/cm2/album/images/105/56/610/10556610_20210129172644_500.jpg,https://www.youtube.com/watch?v=16dCIXLMMi0
국내_발라드,83,SG 워너비,Timeless,Sg Wanna Be+,https://cdnimg.melon.co.kr/cm/album/images/003/99/659/399659_500.jpg,https://www.youtube.com/watch?v=SJk5Nks2Xvg
국내_발라드,84,폴킴,너는 기억한다,더 글로리 OST Part 1,https://cdnimg.melon.co.kr/cm2/album/images/111/34/114/11134114_20221229102948_500.jpg,https://www.youtube.com/watch?v=PpbIoMZbZWk
국내_발라드,85,"서인국, 정은지",All For You,응답하라 1997 Love Story Part 1,https://cdnimg.melon.co.kr/cm/album/images/021/48/020/2148020_500.jpg,https://www.youtube.com/watch?v=XPbOlL5pQ2g
국내_발라드,86,폴킴,너를 만나,너를 만나,https://cdnimg.melon.co.kr/cm/album/images/102/17/134/10217134_500.jpg,https://www.youtube.com/watch?v=YBzJ0jmHv-4
국내_발라드,87,MSG워너비(M.O.M),듣고 싶을까,듣고 싶을까,https://cdnimg.melon.co.kr/cm2/album/images/108/80/544/10880544_20220225141002_500.jpg,https://www.youtube.com/watch?v=SbHgFaGO5FA
국내_발라드,88,윤하 (YOUNHA),기다리다,Audition,https://cdnimg.melon.co.kr/cm/album/images/003/33/687/333687_500.jpg,https://www.youtube.com/watch?v=_6C5-abCx6g
국내_발라드,89,아이유,마음을 드려요,사랑의 불시착 OST Part 11,https://cdnimg.melon.co.kr/cm2/album/images/103/88/744/10388744_20200214175740_500.jpg,https://www.youtube.com/watch?v=MUSaT2B7Lt8
국내_발라드,90,izi,응급실,쾌걸춘향 OST,https://cdnimg.melon.co.kr/cm/album/images/000/48/736/48736_500.jpg,https://www.youtube.com/watch?v=98Q2p-3kMDI
국내_발라드,91,임재현,세상에 없는 계절,세상에 없는 계절,https://cdnimg.melon.co.kr/cm2/album/images/111/59/307/11159307_20230127164310_500.jpg,https://www.youtube.com/watch?v=NAiI7N5tSc0
국내_발라드,92,"허각, 지아",I Need You,I Need You,https://cdnimg.melon.co.kr/cm/album/images/021/45/068/2145068_500.jpg,https://www.youtube.com/watch?v=4eIQXtKPmak
국내_발라드,93,박효신,야생화,야생화,https://cdnimg.melon.co.kr/cm/album/images/022/44/822/2244822_500.jpg,https://www.youtube.com/watch?v=DMLwWAyS5mc
국내_발라드,94,HYNN (박혜원),시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,https://cdnimg.melon.co.kr/cm/album/images/102/67/986/10267986_500.jpg,https://www.youtube.com/watch?v=tMhizg-1OzA
국내_발라드,95,김연지,가슴으로 운다,가슴으로 운다,https://cdnimg.melon.co.kr/cm2/album/images/111/44/817/11144817_20230111101609_500.jpg,https://www.youtube.com/watch?v=atp-TU4Xezs
국내_발라드,96,엠씨더맥스 (M.C the MAX),흩어지지 않게,흩어지지 않게,https://cdnimg.melon.co.kr/cm2/album/images/111/16/153/11116153_20221205072108_500.jpg,https://www.youtube.com/watch?v=YIfljAjuqnU
국내_발라드,97,에일리(Ailee),저녁 하늘,Invitation,https://cdnimg.melon.co.kr/cm/album/images/021/53/251/2153251_500.jpg,https://www.youtube.com/watch?v=1jaiPUIhmFE
국내_발라드,98,이영현,그래서 그대는,그래서 그대는,https://cdnimg.melon.co.kr/cm2/album/images/110/73/603/11073603_20221007170204_500.jpg,https://www.youtube.com/watch?v=O_zZgan8bxg
국내_발라드,99,비투비,그리워하다,Brother Act.,https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg,https://www.youtube.com/watch?v=wDkjWSt3HOM
국내_발라드,100,V,Christmas Tree,그 해 우리는 OST Part.5,https://cdnimg.melon.co.kr/cm2/album/images/108/23/566/10823566_20211224141829_500.jpg,https://www.youtube.com/watch?v=lj8TV9q59P4
