성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
남성,20,페노메코(PENOMECO),RINDAMAN (Feat. ZICO),[ Rorschach ] Part 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F493%2F9493030.jpg%3Ftype%3Dr204Fll%26v%3D20230419182530&type=os121_121,https://www.youtube.com/watch?v=-LrCa7Mvh5A
남성,20,우디 (Woody),Nostalgia,Nostalgia,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F224%2F9224177.jpg%3Ftype%3Dr204Fll%26v%3D20230307100221&type=os121_121,https://www.youtube.com/watch?v=FaIqFOU_uUw
남성,20,순순희(기태),그대가 내 안에 박혔다(그내박),그대가 내 안에 박혔다(그내박),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Fe7c61fbc%2F549e%2F4fe5%2F81c5%2Fe4563de09b05%2F8746607.jpg%3Ftype%3Dr204Fll%26v%3D20230203095049&type=os121_121,https://www.youtube.com/watch?v=RyiFowxqN-Q
남성,20,"스윙스(Swings), 그냥노창, 블랙넛(Black Nut), 다민이(DAMINI)",No One Likes Us (Prod. 그냥노창),AP Alchemy : Side A,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F321%2F9321459.jpg%3Ftype%3Dr204Fll%26v%3D20230322161827&type=os121_121,https://www.youtube.com/watch?v=8TP-OxkIXg0
남성,20,이홍기(FT아일랜드),아모르 파티,아모르 파티,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F320%2F9320515.jpg%3Ftype%3Dr204Fll%26v%3D20230328101052&type=os121_121,https://www.youtube.com/watch?v=-_bdhLPf1OU
남성,20,YOASOBI,アイドル,アイドル,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F425%2F9425775.jpg%3Ftype%3Dr204Fll%26v%3D20230417104720&type=os121_121,https://www.youtube.com/watch?v=ZRtdQ81jPUQ
남성,20,한동근,다시 사랑한다면,다시 사랑한다면,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420890.jpg%3Ftype%3Dr204Fll%26v%3D20230406103818&type=os121_121,https://www.youtube.com/watch?v=I2Z4d-lYwdU
남성,20,포맨(4MEN),나비무덤,나비무덤,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F201%2F9201901.jpg%3Ftype%3Dr204Fll%26v%3D20230228161218&type=os121_121,https://www.youtube.com/watch?v=-embUeUPc7o
남성,20,DK(디셈버),심(心),심(心),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Ffdb282ee%2F8fe1%2F4709%2F8992%2F1e9771be94aa%2F9045225.jpg%3Ftype%3Dr204Fll%26v%3D20230217165854&type=os121_121,https://www.youtube.com/watch?v=ZbWooNg4IMo
남성,20,BIG Naughty (서동현),사랑이라 믿었던 것들은 (Feat. 이수현),호프리스 로맨틱,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F198%2F9198464.jpg%3Ftype%3Dr204Fll%26v%3D20230309174659&type=os121_121,https://www.youtube.com/watch?v=kaUuyO-D4XE
남성,30,태양,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F733%2F8733596.jpg%3Ftype%3Dr204Fll%26v%3D20230327175556&type=os121_121,https://www.youtube.com/watch?v=cXCBiF67jLM
남성,30,지아,사랑하기 싫어,사랑하기 싫어,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F179%2F9179658.jpg%3Ftype%3Dr204Fll%26v%3D20230227113917&type=os121_121,https://www.youtube.com/watch?v=bKfQmdCWKoQ
남성,30,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg%3Ftype%3Dr204Fll%26v%3D20230413181022&type=os121_121,https://www.youtube.com/watch?v=haceXrrm-LU
남성,30,WSG워너비(가야G),결국엔 너에게 닿아서,결국엔 너에게 닿아서,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F310%2F9310439.jpg%3Ftype%3Dr204Fll%26v%3D20230316153512&type=os121_121,https://www.youtube.com/watch?v=8BK3Rn3s_oY
남성,30,LE SSERAFIM (르세라핌),ANTIFRAGILE,ANTIFRAGILE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F237%2F8237889.jpg%3Ftype%3Dr204Fll%26v%3D20230316152022&type=os121_121,https://www.youtube.com/watch?v=pyf8cbqyfPs
남성,30,에이핑크(Apink),D N D,SELF,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415297.jpg%3Ftype%3Dr204Fll%26v%3D20230404155900&type=os121_121,https://www.youtube.com/watch?v=w8Rhc9WdDjk
남성,30,IVE(아이브),After LIKE,After LIKE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F969%2F7969069.jpg%3Ftype%3Dr204Fll%26v%3D20230316150010&type=os121_121,https://www.youtube.com/watch?v=F0B7HDiY-10
남성,30,"Sam Smith, Kim Petras",Unholy,Unholy,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F094%2F8094396.jpg%3Ftype%3Dr204Fll%26v%3D20230308055506&type=os121_121,https://www.youtube.com/watch?v=Uq9gPaIzbe8
남성,30,한동근,다시 사랑한다면,다시 사랑한다면,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420890.jpg%3Ftype%3Dr204Fll%26v%3D20230406103818&type=os121_121,https://www.youtube.com/watch?v=I2Z4d-lYwdU
남성,30,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F002%2F8002223.jpg%3Ftype%3Dr204Fll%26v%3D20230308161015&type=os121_121,https://www.youtube.com/watch?v=azaZt7eccnc
남성,30,(여자)아이들,Nxde,I love,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F235%2F8235565.jpg%3Ftype%3Dr204Fll%26v%3D20230316152015&type=os121_121,https://www.youtube.com/watch?v=fCO7f0SmrDc
남성,30,성시경,아픈 나를 (Prod. By 나얼),나얼 <Ballad Pop City>,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F6e9a4c62%2F83c8%2F4edd%2Fa6ec%2Fcc4573e25dbc%2F8552667.jpg%3Ftype%3Dr204Fll%26v%3D20230118181146&type=os121_121,https://www.youtube.com/watch?v=IGoM4EuOVM0
남성,30,윤하,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F434%2F7434553.jpg%3Ftype%3Dr204Fll%26v%3D20230109102326&type=os121_121,https://www.youtube.com/watch?v=BBdC1rl5sKY
남성,30,STAYC(스테이씨),Poppy (Korean Ver.),Teddy Bear,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F045d36ff%2F2534%2F4a45%2Fabd2%2Fbb063fa6c5e3%2F8830640.jpg%3Ftype%3Dr204Fll%26v%3D20230214180158&type=os121_121,https://www.youtube.com/watch?v=74Owk2cieDQ
남성,30,최유리,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Ff63ec0e4%2F2b6d%2F4fc6%2F87c1%2Fd02510fa61fe%2F8550111.jpg%3Ftype%3Dr204Fll%26v%3D20230103160208&type=os121_121,https://www.youtube.com/watch?v=mwTnWKAvFyo
남성,30,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F005%2F9005635.jpg%3Ftype%3Dr204Fll%26v%3D20230322120657&type=os121_121,https://www.youtube.com/watch?v=Dqlr8EDunCM
남성,30,박재정,헤어지자 말해요,1집 Alone,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F494%2F9494325.jpg%3Ftype%3Dr204Fll%26v%3D20230419175019&type=os121_121,https://www.youtube.com/watch?v=SrQzxD8UFdM
남성,30,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),빙글빙글,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415045.jpg%3Ftype%3Dr204Fll%26v%3D20230405181036&type=os121_121,https://www.youtube.com/watch?v=FanfDDjFyT8
남성,30,주주 시크릿,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F329%2F9329937.jpg%3Ftype%3Dr204Fll%26v%3D20230327121557&type=os121_121,https://www.youtube.com/watch?v=IzOjUXa-nFA
남성,30,테이,Monologue,Monologue,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F075%2F8075678.jpg%3Ftype%3Dr204Fll%26v%3D20221028151708&type=os121_121,https://www.youtube.com/watch?v=i-u2TTV22UE
남성,30,신예영,마지막 사랑,마지막 사랑,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F3b80879f%2Ff489%2F4efd%2Fad0d%2Fd9ad1ca0d197%2F8728378.jpg%3Ftype%3Dr204Fll%26v%3D20230203094813&type=os121_121,https://www.youtube.com/watch?v=bokR8sXylQE
남성,30,DK(디셈버),심(心),심(心),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Ffdb282ee%2F8fe1%2F4709%2F8992%2F1e9771be94aa%2F9045225.jpg%3Ftype%3Dr204Fll%26v%3D20230217165854&type=os121_121,https://www.youtube.com/watch?v=OMjDI2NqQ9M
남성,40,WSG워너비(가야G),결국엔 너에게 닿아서,결국엔 너에게 닿아서,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F310%2F9310439.jpg%3Ftype%3Dr204Fll%26v%3D20230316153512&type=os121_121,https://www.youtube.com/watch?v=SPbPYQ8aTPc
남성,40,(여자)아이들,Nxde,I love,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F235%2F8235565.jpg%3Ftype%3Dr204Fll%26v%3D20230316152015&type=os121_121,https://www.youtube.com/watch?v=fCO7f0SmrDc
남성,40,최유리,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Ff63ec0e4%2F2b6d%2F4fc6%2F87c1%2Fd02510fa61fe%2F8550111.jpg%3Ftype%3Dr204Fll%26v%3D20230103160208&type=os121_121,https://www.youtube.com/watch?v=mwTnWKAvFyo
남성,40,에이핑크(Apink),D N D,SELF,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415297.jpg%3Ftype%3Dr204Fll%26v%3D20230404155900&type=os121_121,https://www.youtube.com/watch?v=w8Rhc9WdDjk
남성,40,태연 (TAEYEON),혼자서 걸어요 (Prod. by 나얼),나얼 <Ballad Pop City>,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F98c6aca8%2F6308%2F429b%2F93e7%2Fa58396b6b654%2F8794803.jpg%3Ftype%3Dr204Fll%26v%3D20230201152003&type=os121_121,https://www.youtube.com/watch?v=qSdyigEP2jY
남성,40,NewJeans,Ditto,NewJeans 'OMG',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F500%2F8500274.jpg%3Ftype%3Dr204Fll%26v%3D20230327175600&type=os121_121,https://www.youtube.com/watch?v=Km71Rr9K-Bw
남성,40,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),빙글빙글,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415045.jpg%3Ftype%3Dr204Fll%26v%3D20230405181036&type=os121_121,https://www.youtube.com/watch?v=FanfDDjFyT8
남성,40,지수 (JISOO),꽃,ME,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399447.jpg%3Ftype%3Dr204Fll%26v%3D20230331125833&type=os121_121,https://www.youtube.com/watch?v=YudHcBIxlYw
남성,40,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F005%2F9005635.jpg%3Ftype%3Dr204Fll%26v%3D20230322120657&type=os121_121,https://www.youtube.com/watch?v=Dqlr8EDunCM
남성,40,태양,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F733%2F8733596.jpg%3Ftype%3Dr204Fll%26v%3D20230327175556&type=os121_121,https://www.youtube.com/watch?v=cXCBiF67jLM
남성,40,지민,Like Crazy,FACE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F313%2F9313232.jpg%3Ftype%3Dr204Fll%26v%3D20230331134607&type=os121_121,https://www.youtube.com/watch?v=nOI67IDlNMQ
남성,40,Charlie Puth,I Don't Think That I Like Her,CHARLIE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F006%2F958%2F6958691.jpg%3Ftype%3Dr204Fll%26v%3D20230227141311&type=os121_121,https://www.youtube.com/watch?v=9voN0gkdlS4
남성,40,주주 시크릿,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F329%2F9329937.jpg%3Ftype%3Dr204Fll%26v%3D20230327121557&type=os121_121,https://www.youtube.com/watch?v=IzOjUXa-nFA
남성,40,Miley Cyrus,Flowers,Flowers,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F733%2F8733523.jpg%3Ftype%3Dr204Fll%26v%3D20230410145718&type=os121_121,https://www.youtube.com/watch?v=G7KNmW9a75Y
남성,40,성시경,아픈 나를 (Prod. By 나얼),나얼 <Ballad Pop City>,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F6e9a4c62%2F83c8%2F4edd%2Fa6ec%2Fcc4573e25dbc%2F8552667.jpg%3Ftype%3Dr204Fll%26v%3D20230118181146&type=os121_121,https://www.youtube.com/watch?v=IGoM4EuOVM0
남성,40,테이,Monologue,Monologue,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F075%2F8075678.jpg%3Ftype%3Dr204Fll%26v%3D20221028151708&type=os121_121,https://www.youtube.com/watch?v=IeDb7OrnGNE
남성,50,박서진,지나야,춘몽,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F214%2F9214077.jpg%3Ftype%3Dr204Fll%26v%3D20230313180556&type=os121_121,https://www.youtube.com/watch?v=ZmrODcT8Rbc
남성,50,황영웅,영원한 내 사랑,불타는 트롯맨 준결승 삼대천왕전 PART 2,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F113%2F9113472.jpg%3Ftype%3Dr204Fll%26v%3D20230323095904&type=os121_121,https://www.youtube.com/watch?v=FUnv3tOl9RY
남성,50,김연지(씨야),Whisky on the Rock,우리들의 블루스 OST Part 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F458%2F7458010.jpg%3Ftype%3Dr204Fll%26v%3D20220428152907&type=os121_121,https://www.youtube.com/watch?v=7h3ndp05JN0
남성,50,임영웅,사랑은 늘 도망가,신사와 아가씨 OST Part 2,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F006%2F465%2F6465843.jpg%3Ftype%3Dr204Fll%26v%3D20211105152410&type=os121_121,https://www.youtube.com/watch?v=Ue763Gp8IKM
