성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,20,카이 (KAI),Rover,Rover - The 3rd Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F298%2F9298303.jpg%3Ftype%3Dr204Fll%26v%3D20230313111413&type=os121_121,https://www.youtube.com/watch?v=Qgqk96TJZyI
여성,30,IVE(아이브),Kitsch,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg%3Ftype%3Dr204Fll%26v%3D20230413095719&type=os121_121,https://www.youtube.com/watch?v=r6p5Avk3GG8
여성,30,지수 (JISOO),꽃,ME,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399447.jpg%3Ftype%3Dr204Fll%26v%3D20230331125833&type=os121_121,https://www.youtube.com/watch?v=YudHcBIxlYw
여성,30,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F045d36ff%2F2534%2F4a45%2Fabd2%2Fbb063fa6c5e3%2F8830640.jpg%3Ftype%3Dr204Fll%26v%3D20230214180158&type=os121_121,https://www.youtube.com/watch?v=SxHmoifp0oQ
여성,30,Agust D,사람 Pt.2 (feat. 아이유),사람 Pt.2 (Feat. 아이유),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F422%2F9422556.jpg%3Ftype%3Dr204Fll%26v%3D20230407164305&type=os121_121,https://www.youtube.com/watch?v=uVD-YgzDzyY
여성,30,NMIXX,Love Me Like This,expérgo,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F286%2F9286430.jpg%3Ftype%3Dr204Fll%26v%3D20230321104010&type=os121_121,https://www.youtube.com/watch?v=EDnwWcFpObo
여성,30,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F005%2F9005635.jpg%3Ftype%3Dr204Fll%26v%3D20230322120657&type=os121_121,https://www.youtube.com/watch?v=Dqlr8EDunCM
여성,30,윤하,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F434%2F7434553.jpg%3Ftype%3Dr204Fll%26v%3D20230109102326&type=os121_121,https://www.youtube.com/watch?v=BBdC1rl5sKY
여성,30,IVE(아이브),I AM,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg%3Ftype%3Dr204Fll%26v%3D20230413095719&type=os121_121,https://www.youtube.com/watch?v=6ZUIwj3FgUY
여성,30,에이핑크(Apink),D N D,SELF,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415297.jpg%3Ftype%3Dr204Fll%26v%3D20230404155900&type=os121_121,https://www.youtube.com/watch?v=w8Rhc9WdDjk
