성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
남성,10,보배,에취! (AhChoo!),에취! (AhChoo!),https://musicmeta-phinf.pstatic.net/album/007/522/7522872.jpg,https://www.youtube.com/watch?v=HLHsH5f8M3A
남성,10,소낙별(SoNakByul),흑백나라의 앨리스,방백,https://musicmeta-phinf.pstatic.net/album/004/564/4564903.jpg,https://www.youtube.com/watch?v=FoQzVXPkIM8
남성,10,김마리,나의 바다,Forest,https://musicmeta-phinf.pstatic.net/album/003/157/3157407.jpg,https://www.youtube.com/watch?v=Lx43c9rdSLc
남성,20,Ed Sheeran,Shape of You,÷ (Deluxe),https://musicmeta-phinf.pstatic.net/album/001/773/1773331.jpg,https://www.youtube.com/watch?v=JGwWNGJdvx8
남성,20,Drake,God's Plan,Scorpion,https://musicmeta-phinf.pstatic.net/album/002/562/2562112.jpg,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
남성,20,Post Malone,Congratulations (Feat. Quavo),Stoney (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/662/662050.jpg,https://www.youtube.com/watch?v=SC4xMk98Pdc
남성,20,The Weeknd,Blinding Lights,Blinding Lights,https://musicmeta-phinf.pstatic.net/album/003/573/3573494.jpg,https://www.youtube.com/watch?v=4NRXx6U8ABQ
남성,20,Justin Bieber,Love Yourself,Purpose (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/597/597894.jpg,https://www.youtube.com/watch?v=TKDpOEkT0cY
남성,20,Khalid,Young Dumb & Broke,American Teen,https://musicmeta-phinf.pstatic.net/album/001/819/1819974.jpg,https://www.youtube.com/watch?v=IPfJnp1guPc
남성,20,Imagine Dragons,Believer,Evolve,https://musicmeta-phinf.pstatic.net/album/001/778/1778437.jpg,https://www.youtube.com/watch?v=7wtfhZwyrcc
남성,20,Shawn Mendes,There's Nothing Holdin' Me Back,Illuminate (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/642/642121.jpg,https://www.youtube.com/watch?v=vgXwWQhaLxs
남성,20,Bruno Mars,That's What I Like,24K Magic,https://musicmeta-phinf.pstatic.net/album/000/776/776828.jpg,https://www.youtube.com/watch?v=PMivT7MJ41M
남성,20,Harry Styles,Sign of the Times,Harry Styles,https://musicmeta-phinf.pstatic.net/album/001/963/1963918.jpg,https://www.youtube.com/watch?v=qN4ooNx77u0
남성,20,The Chainsmokers,Closer (Feat. Halsey),Collage EP,https://musicmeta-phinf.pstatic.net/album/000/653/653057.jpg,https://www.youtube.com/watch?v=0zGcUoRlhmw
남성,20,Charlie Puth,Attention,Voicenotes,https://musicmeta-phinf.pstatic.net/album/002/000/2000378.jpg,https://www.youtube.com/watch?v=nfs8NYg7yQM
남성,20,Sam Smith,Stay With Me,In The Lonely Hour,https://musicmeta-phinf.pstatic.net/album/000/431/431481.jpg,https://www.youtube.com/watch?v=pB-5XG-DbAA
