순위,가수명,인기곡,앨범이미지,유튜브링크
34,Ruel,Painkiller,https://cdnimg.melon.co.kr/cm2/artistcrop/images/014/38/336/1438336_20230302143616_500.jpg,https://www.youtube.com/watch?v=dTwj7PhpY9M
35,Kim Petras,Unholy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/025/59/079/2559079_500.jpg,https://www.youtube.com/watch?v=Uq9gPaIzbe8
36,Dua Lipa,Don't Start Now,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/89/721/889721_20201021143804_500.jpg,https://www.youtube.com/watch?v=oygrmJFKYZY
37,SZA,Kill Bill,https://cdnimg.melon.co.kr/cm/artistcrop/images/009/92/198/992198_500.jpg,https://www.youtube.com/watch?v=5Dt9ytcRp5g
38,AJR,World's Smallest Violin,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/70/539/770539_20220729114418_500.jpg,https://www.youtube.com/watch?v=PEnJbjBuxnw
39,Jeremy Zucker,comethru,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/58/307/1758307_20220916165153_500.jpg,https://www.youtube.com/watch?v=jO2viLEW-1A
40,Meghan Trainor,Made You Look,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/77/099/777099_20220623165258_500.jpg,https://www.youtube.com/watch?v=gPCCYMeXin0
41,Adele,Someone Like You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/41/925/241925_20211015144153_500.jpg,https://www.youtube.com/watch?v=hLQl3WQQoQ0
42,Eminem,Godzilla (Feat. Juice WRLD),https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/986/1986_20200120151732_500.jpg,https://www.youtube.com/watch?v=r_0JjYUe5jo
43,The Chainsmokers,Closer (Feat. Halsey),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/13/297/713297_20220203162804_500.jpg,https://www.youtube.com/watch?v=0zGcUoRlhmw
44,Pink Sweat$,At My Worst,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/35/431/2735431_20210209155750_500.jpg,https://www.youtube.com/watch?v=8CEJoCr_9UI
45,New Hope Club,Know Me Too Well,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/05/084/1705084_20220510185549_500.jpg,https://www.youtube.com/watch?v=sn_rYcVuD3U
46,LANY,dna,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/96/278/896278_20220824135344_500.jpg,https://www.youtube.com/watch?v=6qN42GcgSCQ
47,Doja Cat,Kiss Me More (Feat. SZA),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/64/646/764646_20210415180824_500.jpg,https://www.youtube.com/watch?v=0EVVKs6DQLo
48,Hisaishi Joe,あの夏へ / Ano Natsue (어느 여름날),https://cdnimg.melon.co.kr/cm/artistcrop/images/000/02/796/2796_500.jpg,https://www.youtube.com/watch?v=TK1Ij_-mank
49,Lady Gaga,Shallow,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/53/688/253688_20220503141523_500.jpg,https://www.youtube.com/watch?v=bo_efYhYU2A
50,Calvin Harris,"Feels (Feat. Pharrell Williams, Katy Perry, Big Sean)",https://cdnimg.melon.co.kr/cm/artistcrop/images/002/27/229/227229_500.jpg,https://www.youtube.com/watch?v=ozv4q2ov3Mk
